,log10_var,log10_left_bound,log10_right_bound
beta,1.9011857801371503,1.6459324136633329,1.94846582576962
gammam,-0.59328954139021,-0.6261937859415158,-0.33836044157410405
gammamRNA,0.1903316981702915,0.14359832368537512,0.4465158092960977
gammad,-1.944621668625,-3.3010299956639813,-1.0
alphaass,-1.9982662871909995,-2.0,-1.916306146505431
alphadiss,2.49220145139254,2.409067542704469,3.0
phi0,-0.18728713323463128,-0.4457403349414124,-0.14554656995685128
f1,-0.9884295564027218,-3.0,-0.080810814174942
f2,1.7495044238761424,-3.0,2.0
f3,1.8806992892187016,1.4564978861518418,1.9366214973974352
f12,-0.902395671125589,-3.0,1.4416289578010342
f13,-0.868702203402377,-3.0,-0.26638679936769827
f23,1.0937717814987298,-3.0,2.0
f123,-1.4701848033553697,-3.0,0.38351743046825065
kb1,-2.7004927012995124,-2.80812813677,-1.603405049336052
kb2,-2.649170726417032,-2.991777438900399,-0.6832616204223301
kb3,-0.2767906895948886,-0.7475016739129596,-0.23676897825435345
ku1,-1.1865524557351788,-2.0,-1.1334028640119782
ku2,0.885982811354973,-0.6725606404802811,1.2039111776160416
ku3,1.4122925093230465,1.3689723895757813,1.8867441618104956
bcoop12,-0.24101245313238068,-0.49359475818873866,1.3010299956639813
bcoop23,0.05422990986339725,-0.25546815448563265,1.3010299956639813
bcoop13,-0.1745089701205691,-0.24931700697306133,1.3010299956639813
bcoop123,-0.2408611837188335,-0.5017621022834597,1.3010299956639813
ucoop12,-0.8538719643217619,-1.3010299956639813,-0.6139707695577241
ucoop23,-0.2681695797118376,-1.3010299956639813,0.01686081190916077
ucoop13,-1.0721678671334183,-1.3010299956639813,-1.011910890148328
ucoop123,-0.7323590176540845,-1.3010299956639813,-0.4900997797392368
