,log10_var,log10_left_bound,log10_right_bound
beta,1.7571681922142726,1.3645734690043827,1.8301242747233912
gammam,-0.08034671768963583,-0.13451997195125392,0.0
gammamRNA,-0.40230481407448765,-0.47079873010963297,-0.010645461706027214
gammad,-3.035881856848515,-3.3010299956639813,-1.0039763317516572
alphaass,-0.2709972907278099,-1.051074684950224,-0.14820164336677105
alphadiss,1.7471009313649863,1.6312049125328332,2.5252687122750146
phi0,-1.234331445240986,-1.6261384009965751,-1.160144658973219
f1,-1.0385314446492135,-3.0,0.09201589950249581
f2,-1.8074325466634542,-3.0,2.0
f3,1.9033613362553186,1.2952296080283405,1.9849002087898935
f12,0.9638350307021479,-3.0,1.890716975894367
f13,-2.6333902896075703,-3.0,-0.43886461533054727
f23,0.2046625117482188,-3.0,2.0
f123,-1.3035562368610007,-3.0,1.09990997062088
kb1,-2.9295926782598802,-3.0,-1.42279335375271
kb2,-2.4654662439948845,-3.0,-0.742947526828889
kb3,-1.4851867050007146,-2.174545099014061,-1.4273271600934763
ku1,-1.4156687756324693,-2.0,-1.3423617744745084
ku2,1.0696680969115957,-1.7152163386654282,2.513646844729679
ku3,0.2038484637462347,0.14789137384642798,0.8892332641365619
bcoop12,1.1763806922432705,0.6489631825130157,1.3010299956639813
bcoop23,0.7109631189952758,0.007551463674949572,1.3010299956639813
bcoop13,-0.3956659268970889,-0.5052998570993298,1.3010299956639813
bcoop123,-0.5425723070535154,-0.9721674822430371,1.3010299956639813
ucoop12,0.5634810853944107,-1.3010299956639813,1.0100439021591898
ucoop23,0.3886339693517892,-1.3010299956639813,1.0123421904636392
ucoop13,-1.2932822176632413,-1.3010299956639813,-1.2147434690175931
ucoop123,-1.0338582672609673,-1.3010299956639813,-0.6462303329863176
