,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,6.012E-01,5.452E+01,2.686E+02,7.562E-01,3.509E+01,3.818E+02,9.729E-01,2.397E+01,4.991E+02,1.300E+00,1.639E+01,6.267E+02,1.876E+00,1.061E+01,7.676E+02
gammam,2.348E+00,8.360E+00,7.902E+02,1.780E+00,1.137E+01,7.192E+02,1.437E+00,1.458E+01,6.504E+02,1.197E+00,1.824E+01,5.837E+02,1.016E+00,2.257E+01,5.190E+02
gammamRNA,1.871E+00,1.064E+01,7.667E+02,1.308E+00,1.625E+01,6.295E+02,9.854E-01,2.354E+01,5.049E+02,7.698E-01,3.407E+01,3.903E+02,6.148E-01,5.183E+01,2.802E+02
gammad,1.051E+00,2.094E+01,5.939E+02,1.022E+00,2.235E+01,5.253E+02,9.805E-01,2.472E+01,4.415E+02,9.244E-01,2.900E+01,3.449E+02,8.514E-01,3.808E+01,2.384E+02
alphaass,5.969E-01,5.360E+01,2.826E+02,7.508E-01,3.511E+01,3.899E+02,9.653E-01,2.420E+01,4.979E+02,1.287E+00,1.666E+01,6.109E+02,1.848E+00,1.089E+01,7.301E+02
alphadiss,1.886E+00,1.065E+01,7.358E+02,1.309E+00,1.633E+01,6.170E+02,9.783E-01,2.376E+01,5.035E+02,7.581E-01,3.456E+01,3.943E+02,6.004E-01,5.293E+01,2.855E+02
phi0,6.101E-01,5.273E+01,2.762E+02,7.605E-01,3.476E+01,3.845E+02,9.681E-01,2.413E+01,4.969E+02,1.275E+00,1.678E+01,6.186E+02,1.795E+00,1.116E+01,7.523E+02
f1,1.020E+00,2.246E+01,5.204E+02,1.020E+00,2.246E+01,5.204E+02,1.020E+00,2.246E+01,5.204E+02,1.020E+00,2.246E+01,5.205E+02,1.020E+00,2.244E+01,5.207E+02
f2,9.342E-01,4.197E+01,3.174E+02,9.995E-01,2.522E+01,4.772E+02,1.091E+00,1.618E+01,6.564E+02,1.228E+00,1.048E+01,8.634E+02,1.474E+00,6.530E+00,1.104E+03
f12,1.020E+00,2.246E+01,5.204E+02,1.020E+00,2.246E+01,5.205E+02,1.020E+00,2.246E+01,5.207E+02,1.020E+00,2.246E+01,5.220E+02,1.020E+00,2.244E+01,5.311E+02
kb1,1.020E+00,2.248E+01,4.960E+02,1.020E+00,2.255E+01,4.356E+02,1.020E+00,2.272E+01,3.402E+02,1.019E+00,2.323E+01,2.291E+02,1.019E+00,2.487E+01,1.298E+02
kb2,8.825E-01,5.856E+01,4.008E+02,9.429E-01,3.492E+01,4.710E+02,1.029E+00,2.153E+01,5.247E+02,1.161E+00,1.320E+01,5.678E+02,1.403E+00,7.705E+00,6.033E+02
ku1,1.019E+00,2.449E+01,1.423E+02,1.020E+00,2.303E+01,2.599E+02,1.020E+00,2.263E+01,3.837E+02,1.020E+00,2.250E+01,4.738E+02,1.020E+00,2.246E+01,5.189E+02
ku2,1.406E+00,7.675E+00,6.035E+02,1.152E+00,1.358E+01,5.656E+02,1.016E+00,2.281E+01,5.189E+02,9.302E-01,3.826E+01,4.596E+02,8.702E-01,6.741E+01,3.793E+02
bcoop,1.020E+00,2.245E+01,5.402E+02,1.020E+00,2.246E+01,5.329E+02,1.020E+00,2.247E+01,5.145E+02,1.020E+00,2.249E+01,4.731E+02,1.020E+00,2.255E+01,3.971E+02
ucoop,1.020E+00,2.246E+01,5.304E+02,1.020E+00,2.245E+01,5.392E+02,1.020E+00,2.245E+01,5.426E+02,1.020E+00,2.245E+01,5.438E+02,1.020E+00,2.245E+01,5.443E+02
