,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,3.046E-01,4.101E+01,4.096E+02,3.784E-01,2.233E+01,6.384E+02,4.759E-01,1.325E+01,9.004E+02,6.147E-01,8.037E+00,1.210E+03,8.452E-01,4.731E+00,1.580E+03
gammam,8.474E-01,5.572E+00,8.633E+02,5.945E-01,9.808E+00,7.791E+02,4.440E-01,1.662E+01,6.792E+02,3.396E-01,2.856E+01,5.609E+02,2.621E-01,5.277E+01,4.174E+02
gammamRNA,8.373E-01,4.799E+00,1.570E+03,6.109E-01,8.127E+00,1.203E+03,4.738E-01,1.337E+01,8.950E+02,3.770E-01,2.253E+01,6.345E+02,3.038E-01,4.138E+01,4.068E+02
gammad,3.696E-01,2.029E+01,8.857E+02,3.657E-01,2.261E+01,7.054E+02,3.612E-01,2.610E+01,5.448E+02,3.559E-01,3.181E+01,4.011E+02,3.497E-01,4.288E+01,2.694E+02
alphaass,2.627E-01,5.241E+01,4.190E+02,3.403E-01,2.845E+01,5.618E+02,4.445E-01,1.658E+01,6.797E+02,5.948E-01,9.800E+00,7.792E+02,8.469E-01,5.576E+00,8.632E+02
alphadiss,8.884E-01,5.199E+00,8.717E+02,6.238E-01,9.040E+00,7.928E+02,4.632E-01,1.534E+01,6.956E+02,3.510E-01,2.662E+01,5.769E+02,2.676E-01,4.994E+01,4.303E+02
phi0,3.081E-01,3.954E+01,4.213E+02,3.827E-01,2.171E+01,6.509E+02,4.816E-01,1.292E+01,9.145E+02,6.229E-01,7.845E+00,1.226E+03,8.604E-01,4.605E+00,1.598E+03
f1,3.055E-01,2.658E+01,5.911E+02,3.083E-01,2.648E+01,5.912E+02,3.176E-01,2.617E+01,5.914E+02,3.509E-01,2.517E+01,5.922E+02,5.126E-01,2.188E+01,5.945E+02
f2,3.627E-01,2.486E+01,5.924E+02,3.629E-01,2.485E+01,5.924E+02,3.643E-01,2.482E+01,5.924E+02,3.740E-01,2.457E+01,5.926E+02,4.533E-01,2.288E+01,5.938E+02
f12,3.543E-01,5.774E+01,3.093E+02,3.579E-01,3.731E+01,4.381E+02,3.619E-01,2.622E+01,5.699E+02,3.667E-01,1.918E+01,7.115E+02,3.722E-01,1.437E+01,8.663E+02
kb1,9.280E-01,4.689E+01,5.135E+02,6.947E-01,3.034E+01,5.717E+02,4.491E-01,2.567E+01,5.893E+02,2.645E-01,2.422E+01,5.948E+02,1.507E-01,2.377E+01,5.965E+02
kb2,3.566E-01,4.152E+01,5.026E+02,3.678E-01,1.794E+01,6.438E+02,3.850E-01,8.673E+00,7.415E+02,4.133E-01,4.401E+00,8.123E+02,4.689E-01,2.235E+00,8.647E+02
ku1,7.461E-02,2.361E+01,5.971E+02,1.467E-01,2.376E+01,5.966E+02,2.973E-01,2.441E+01,5.941E+02,5.605E-01,2.721E+01,5.835E+02,8.724E-01,4.006E+01,5.366E+02
ku2,4.712E-01,2.193E+00,8.659E+02,4.143E-01,4.321E+00,8.140E+02,3.856E-01,8.504E+00,7.438E+02,3.682E-01,1.754E+01,6.471E+02,3.569E-01,4.038E+01,5.077E+02
bcoop,3.564E-01,4.101E+01,5.048E+02,3.681E-01,1.792E+01,6.440E+02,3.860E-01,8.716E+00,7.409E+02,4.155E-01,4.435E+00,8.116E+02,4.737E-01,2.249E+00,8.641E+02
ucoop,4.704E-01,2.309E+00,8.624E+02,4.140E-01,4.554E+00,8.091E+02,3.851E-01,8.975E+00,7.374E+02,3.675E-01,1.854E+01,6.388E+02,3.560E-01,4.286E+01,4.967E+02
