,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,3.595E+02,4.112E-03,1.398E-01,8.471E+02,4.295E-03,1.668E-01,,,,,,,,,
gammam,,,,,,,7.244E+02,4.272E-03,1.650E-01,3.905E+02,4.119E-03,1.469E-01,2.841E+02,3.982E-03,1.233E-01
gammamRNA,,,,,,,,,,4.980E+02,4.207E-03,1.556E-01,3.161E+02,4.063E-03,1.303E-01
gammad,5.815E+02,4.272E-03,1.625E-01,4.016E+02,4.210E-03,1.526E-01,3.219E+02,4.150E-03,1.420E-01,2.748E+02,4.091E-03,1.303E-01,2.426E+02,4.033E-03,1.170E-01
alphaass,2.731E+02,4.015E-03,1.183E-01,3.663E+02,4.128E-03,1.425E-01,6.049E+02,4.252E-03,1.614E-01,,,,,,
alphadiss,,,,,,,5.492E+02,4.233E-03,1.594E-01,3.231E+02,4.077E-03,1.348E-01,2.332E+02,3.939E-03,9.894E-02
phi0,3.461E+02,4.098E-03,1.372E-01,6.770E+02,4.266E-03,1.633E-01,,,,,,,,,
fm,4.070E+02,3.875E-03,1.414E-01,4.401E+02,3.926E-03,1.462E-01,4.915E+02,3.995E-03,1.518E-01,5.828E+02,4.092E-03,1.583E-01,8.019E+02,4.228E-03,1.656E-01
fd,2.245E+02,3.991E-03,9.248E-02,3.503E+02,4.143E-03,1.399E-01,1.296E+03,4.325E-03,1.703E-01,,,,,,
Km,,,,,,,2.296E+03,4.341E-03,1.717E-01,5.181E+02,4.224E-03,1.596E-01,3.587E+02,4.117E-03,1.462E-01
Kd,3.095E+02,4.088E-03,1.315E-01,4.494E+02,4.200E-03,1.531E-01,1.354E+03,4.327E-03,1.705E-01,,,,,,
kbm,8.802E+03,1.794E-04,3.914E+00,3.636E+03,2.021E-04,3.742E+00,1.581E+03,2.640E-04,3.339E+00,7.729E+02,4.533E-04,2.524E+00,5.720E+02,1.172E-03,1.272E+00
kbd,1.108E+03,4.461E-03,1.450E-01,1.143E+03,4.334E-03,1.670E-01,1.141E+03,4.250E-03,1.813E-01,1.134E+03,4.194E-03,1.909E-01,1.128E+03,4.156E-03,1.974E-01
