,log10_var,log10_left_bound,log10_right_bound
beta,-1.856985199745905,-2.0,-0.9536657517366476
gammam,-0.9665762445130502,-3.0,-0.31338214177571555
gammamRNA,-1.4045037781744258,-2.3050866065095645,-1.1556000667618387
gammad,-2.910094888560602,-3.3010299956639813,-2.6153732163022276
alphaass,-0.27245874297144357,-1.5714887897604948,0.0
alphadiss,-2.614393726401688,-3.0,-1.1422602151332768
phi0,-0.638272163982407,-0.8856172591965401,0.26085767601575
f1,-2.2676062401770314,-3.0,2.0
f2,-1.6420651529995463,-3.0,-0.16603288884445674
f3,-2.4710832997223453,-3.0,2.0
f12,0.6334684555795865,-3.0,2.0
f13,1.8954225460394079,-3.0,2.0
f23,-1.078313524516398,-3.0,1.9248458612178614
f123,1.3010299956639813,1.0532167439606854,2.0
kb1,-2.8664610916297826,-3.0,-0.48550698332263303
kb2,1.2624510897304295,-3.0,2.0
kb3,-1.295849483160201,-1.89163648025849,1.147070202111862
ku1,1.7528164311882715,-0.6256775764691388,2.2448693235710238
ku2,-1.0404816230270018,-2.0,3.0
ku3,2.0043213737826426,-0.43972243345773987,2.5993949277328605
bcoop12,-0.5128616245228135,-1.0085456391858134,1.3010299956639813
bcoop23,-0.6615435063953952,-1.2560661018872838,1.3010299956639813
bcoop13,0.6424645202421213,0.15279500353921655,1.3010299956639813
bcoop123,0.615950051656401,0.1254727348615376,1.3010299956639813
ucoop12,-0.42250820016277474,-1.3010299956639813,0.0723357740296728
ucoop23,-1.1232050237992994,-1.3010299956639813,-0.5313507710006469
ucoop13,-0.906578314837765,-1.3010299956639813,-0.4107287919711618
ucoop123,-1.154901959985743,-1.3010299956639813,-0.6608375235952713
